Diag_l0,Diag_a0
0.310621577501297,0.9564
0.2981966733932495,0.9568
0.2853762686252594,0.9574
0.2832104980945587,0.958
0.27469509840011597,0.9586
0.27360005378723146,0.9586
0.2694126725196838,0.9594
0.271571546792984,0.9593
0.2695818364620209,0.9598
0.26853916645050047,0.9605
0.2674810945987701,0.9607
0.26463024616241454,0.9614
0.26346534192562104,0.9619
0.2644157588481903,0.9622
0.2654034078121185,0.9625
0.263113209605217,0.963
0.2669047623872757,0.9628
0.2751210153102875,0.9631
0.2813668757677078,0.9629
0.29762839078903197,0.9633
0.31481104493141177,0.9631
0.3395311713218689,0.9633
0.353789222240448,0.9618
0.3671893417835236,0.9622
0.36770905256271363,0.9611
0.35687819719314573,0.9614
0.32553887367248535,0.9608
0.30701431035995486,0.9612
0.2877685874700546,0.9615
0.27671963572502134,0.9624
0.26768638789653776,0.9627
0.2673908889293671,0.9635
0.265949746966362,0.9637
0.2607283592224121,0.9635
0.25553399324417114,0.9636
0.25089414715766906,0.9637
0.24993928968906404,0.9645
0.24473677575588226,0.9641
0.24284230470657348,0.9648
0.2413046956062317,0.9654
0.24060539603233339,0.9652
0.24072809815406798,0.9652
0.24104900658130646,0.9655
0.2396034389734268,0.9657
0.2381053864955902,0.9654
0.23800385296344756,0.9661
0.23641375005245208,0.9656
0.23899666368961334,0.9662
0.23574744760990143,0.966
0.23432798385620118,0.966
0.23186106979846954,0.9664
0.2330545336008072,0.9666
0.23437058925628662,0.9668
0.23222083747386932,0.9669
0.232896888256073,0.9672
0.23073275089263917,0.9667
0.23239320814609526,0.9671
0.22950556874275208,0.9672
0.23498029708862306,0.9669
0.2282068431377411,0.9674
0.22893678545951843,0.9674
0.23131734132766724,0.9677
0.22702536284923552,0.9672
0.23182400166988373,0.9677
0.22942329049110413,0.9677
0.23044176995754242,0.9677
0.227547687292099,0.968
0.22944557666778564,0.9678
0.22906266152858734,0.9676
0.23162152171134948,0.9677
0.22821478247642518,0.9674
0.23007180392742158,0.9675
0.22621822953224183,0.968
0.2231182187795639,0.9679
0.2248523235321045,0.968
0.2314413756132126,0.9685
0.2323718100786209,0.9683
0.2346636801958084,0.9682
0.2418455183506012,0.9684
0.2544775456190109,0.9681
0.26531277000904085,0.9674
0.309719380736351,0.9673
0.32062273025512694,0.9643
0.46896629631519315,0.9667
0.3309140294790268,0.9623
0.39548705220222474,0.9646
0.4022780418395996,0.9581
0.6059581249952316,0.961
0.4299934089183807,0.958
0.37821003794670105,0.958
0.39133363366127016,0.9567
0.3574053168296814,0.9558
0.35353022813796997,0.957
0.34837483167648314,0.9593
0.3254495203495026,0.9583
0.31344558000564576,0.9612
0.30684785842895507,0.9613
0.2885328471660614,0.9633
0.28023855686187743,0.9627
0.2685483455657959,0.9649
0.2581757664680481,0.9639
0.25403752028942106,0.9648
0.24878047704696654,0.9651
0.2436029314994812,0.9656
0.24035290479660035,0.9656
0.23986659646034242,0.966
0.23629773855209352,0.9665
0.23237899839878082,0.9662
0.2288033574819565,0.9671
0.22414446175098418,0.9667
0.2184644013643265,0.9673
0.22601702511310579,0.9674
0.21994928419589996,0.9679
0.2226736932992935,0.9674
0.21790710389614104,0.9684
0.2187953770160675,0.9682
0.21558949649333953,0.9682
0.21874889731407166,0.9686
0.2172455906867981,0.9691
0.21384521722793579,0.9688
0.21377331018447876,0.9693
0.21143743991851807,0.9689
0.21375857293605804,0.9692
0.21065398454666137,0.9692
0.21431732773780823,0.9691
0.20751842856407166,0.9693
0.20960294008255004,0.9694
0.20806424021720887,0.9697
0.2113131195306778,0.9699
0.20710622072219848,0.97
0.20839756727218628,0.9699
0.20775612592697143,0.9697
0.20897178053855897,0.9699
0.20940613746643066,0.97
0.2088090032339096,0.9702
0.2068398714065552,0.9701
0.2040501832962036,0.9702
0.2058022975921631,0.97
0.20489035844802855,0.9705
0.20302672684192657,0.9705
0.19862883388996125,0.9707
0.200120809674263,0.9708
0.20307334661483764,0.9707
0.2021902859210968,0.9709
0.20019901692867278,0.9709
0.205354905128479,0.9709
0.20185219943523408,0.9713
0.19961394667625426,0.9709
0.20537956357002257,0.9716
0.20446881651878357,0.9714
0.20103637576103212,0.9715
0.19901952147483826,0.9711
0.19933564066886902,0.9712
0.19665823876857758,0.9717
0.200239297747612,0.9714
0.19692240357398988,0.9719
0.1967388868331909,0.9715
0.1999538093805313,0.9722
0.19900463223457338,0.9715
0.20271670520305635,0.9718
0.20322624444961548,0.9716
0.19409236311912537,0.9725
0.2021016389131546,0.9722
0.19555289447307586,0.9721
0.20072972476482392,0.9723
0.19705094993114472,0.9725
0.19772356748580933,0.9728
0.19699344038963318,0.9729
0.19920055270195008,0.9729
0.20294585525989534,0.9729
0.20637448728084565,0.973
0.21088935434818268,0.9723
0.21835863292217256,0.9722
0.2257955014705658,0.9728
0.24324357211589814,0.972
0.2537658363580704,0.9725
0.26642016768455506,0.9715
0.2688636124134064,0.9711
0.2927405178546906,0.9711
0.2909329324960709,0.9701
0.29640800356864927,0.9711
0.2801116704940796,0.9707
0.3026074141263962,0.9705
0.32805326879024505,0.9709
0.4072177022695541,0.9708
0.4674106061458588,0.9702
0.5032924890518189,0.9694
0.5393493831157684,0.9681
0.549459046125412,0.9658
0.5717966794967652,0.9641
0.48300727605819704,0.9619
0.47760177254676817,0.9617
0.3643923819065094,0.9603
0.33246448040008547,0.9625
0.2880499690771103,0.962
0.2683285981416702,0.9628
0.25149725675582885,0.9639
0.23930951952934265,0.9647
0.23321833610534667,0.9654
0.2265925645828247,0.9653
0.22794553339481355,0.966
0.21636249721050263,0.9665
0.21759771108627318,0.9667
0.21181362569332124,0.9678
0.2087916314601898,0.9675
0.2086709201335907,0.968
0.20475148260593415,0.9684
0.2050318717956543,0.9688
0.19994612038135529,0.9691
0.2003519743680954,0.969
0.19564369916915894,0.9691
0.1975536197423935,0.9695
0.19808092713356018,0.9698
0.19685965180397033,0.9702
0.1940075397491455,0.9704
0.19596129655838013,0.9707
0.19289359152317048,0.9706
0.1959748923778534,0.971
0.19026780128479004,0.9713
0.19049839675426483,0.9718
0.18733708262443544,0.9714
0.1934373378753662,0.9714
0.1902572125196457,0.9718
0.18802564442157746,0.972
0.18874942362308503,0.9719
0.18963961601257323,0.9719
0.18631339967250823,0.9722
0.1885109931230545,0.9722
0.18699424266815184,0.9722
0.18324667811393738,0.9723
0.18518224060535432,0.9725
0.1883123129606247,0.9722
0.18611854016780854,0.9722
0.18552385568618773,0.9725
0.18318803310394288,0.972
0.18167926967144013,0.9724
0.18313356935977937,0.9726
0.18287629187107085,0.9729
0.18398693799972535,0.9729
0.1825891077518463,0.9729
0.180373215675354,0.9732
0.1785190850496292,0.973
0.1831279695034027,0.9732
0.18077241778373718,0.9735
0.17533379197120666,0.9738
0.18046921789646148,0.974
0.18210452497005464,0.9736
0.17812392711639405,0.9741
0.17924545109272003,0.9742
0.17652408480644227,0.9742
