Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.0,0.0,0.0,0.8802
0.0,0.0,0.0,0.8806
0.0,0.0,0.0,0.8806
0.0,0.0,0.0,0.8815
0.0,0.0,0.0,0.8811
0.0,0.0,0.0,0.8807
0.0,0.0,0.0,0.8808
0.0,0.0,0.0,0.8816
0.0,0.0,0.0,0.8816
0.0,0.0,0.0,0.8813
0.0,0.0,0.0,0.8813
0.0,0.0,0.0,0.8819
0.0,0.0,0.0,0.8822
0.0,0.0,0.0,0.8822
0.0,0.0,0.0,0.8827
0.0,0.0,0.0,0.8832
0.0,0.0,0.0,0.8832
0.0,0.0,0.0,0.8828
0.0,0.0,0.0,0.8831
0.0,0.0,0.0,0.8832
0.0,0.0,0.0,0.8833
0.0,0.0,0.0,0.8828
0.0,0.0,0.0,0.8845
0.0,0.0,0.0,0.884
0.0,0.0,0.0,0.8847
0.0,0.0,0.0,0.8842
0.0,0.0,0.0,0.885
0.0,0.0,0.0,0.8846
0.0,0.0,0.0,0.8848
0.0,0.0,0.0,0.8848
0.0,0.0,0.0,0.8857
0.0,0.0,0.0,0.8841
0.0,0.0,0.0,0.8854
0.0,0.0,0.0,0.8846
0.0,0.0,0.0,0.8852
0.0,0.0,0.0,0.8854
0.0,0.0,0.0,0.8859
0.0,0.0,0.0,0.8853
0.0,0.0,0.0,0.8857
0.0,0.0,0.0,0.8857
0.0,0.0,0.0,0.8857
0.0,0.0,0.0,0.8864
0.0,0.0,0.0,0.8864
0.0,0.0,0.0,0.8857
0.0,0.0,0.0,0.8865
0.0,0.0,0.0,0.8867
0.0,0.0,0.0,0.8865
0.0,0.0,0.0,0.8865
0.0,0.0,0.0,0.887
0.0,0.0,0.0,0.8873
0.0,0.0,0.0,0.8865
0.0,0.0,0.0,0.8874
0.0,0.0,0.0,0.887
0.0,0.0,0.0,0.8875
0.0,0.0,0.0,0.8872
0.0,0.0,0.0,0.8874
0.0,0.0,0.0,0.8875
0.0,0.0,0.0,0.8877
0.0,0.0,0.0,0.8882
0.0,0.0,0.0,0.8882
0.0,0.0,0.0,0.8884
0.0,0.0,0.0,0.888
0.0,0.0,0.0,0.8886
0.0,0.0,0.0,0.8883
0.0,0.0,0.0,0.889
0.0,0.0,0.0,0.8881
0.0,0.0,0.0,0.8894
0.0,0.0,0.0,0.8885
0.0,0.0,0.0,0.8901
0.0,0.0,0.0,0.889
0.0,0.0,0.0,0.8894
0.0,0.0,0.0,0.8896
0.0,0.0,0.0,0.89
0.0,0.0,0.0,0.8893
0.0,0.0,0.0,0.8913
0.0,0.0,0.0,0.8899
0.0,0.0,0.0,0.8908
0.0,0.0,0.0,0.8898
0.0,0.0,0.0,0.8914
0.0,0.0,0.0,0.8898
0.0,0.0,0.0,0.8922
0.0,0.0,0.0,0.8902
0.0,0.0,0.0,0.8917
0.0,0.0,0.0,0.8902
0.0,0.0,0.0,0.8921
0.0,0.0,0.0,0.8904
0.0,0.0,0.0,0.8923
0.0,0.0,0.0,0.8904
0.0,0.0,0.0,0.8926
0.0,0.0,0.0,0.8899
0.0,0.0,0.0,0.8923
0.0,0.0,0.0,0.8898
