Diag,Sum
0.8911,0.8813
0.8913,0.8812
0.8905,0.8807
0.8903,0.8812
0.89,0.8801
0.89,0.8818
0.89,0.8809
0.8898,0.8823
0.8898,0.8821
0.8906,0.8832
0.89,0.8825
0.8907,0.8835
0.8898,0.8819
0.8905,0.8839
0.8893,0.8816
0.8897,0.8834
0.8885,0.8812
0.89,0.8836
0.8894,0.8812
0.8899,0.8839
0.8896,0.8816
0.8902,0.8827
0.8903,0.8821
0.8898,0.8831
0.8898,0.8822
0.8908,0.8825
0.8898,0.8822
0.8902,0.8825
0.8905,0.8829
0.8908,0.8824
0.8902,0.883
0.8909,0.8825
0.8902,0.8832
0.8898,0.883
0.89,0.8827
0.8909,0.8828
0.8887,0.8824
0.8901,0.8828
0.8898,0.8823
0.8906,0.8827
0.8899,0.8821
0.8909,0.8824
0.8906,0.8827
0.891,0.8829
0.8905,0.883
0.8912,0.8825
0.8909,0.8833
0.8913,0.8833
0.8907,0.8828
0.8907,0.8832
0.8905,0.8829
0.8904,0.8833
0.8902,0.8823
0.8911,0.8837
0.8908,0.8822
0.8915,0.8833
0.8909,0.882
0.8917,0.883
0.891,0.8823
0.8914,0.8833
0.8915,0.8827
0.8912,0.8833
0.891,0.8827
0.8905,0.8831
0.8899,0.8822
0.8909,0.8836
0.8908,0.8827
0.891,0.883
0.8912,0.8829
0.8916,0.8832
0.8912,0.8831
0.8907,0.8824
0.8913,0.8827
0.8905,0.8821
0.891,0.8828
0.89,0.8812
0.8912,0.8829
0.8907,0.882
0.8916,0.8833
0.8919,0.8829
0.8912,0.8841
0.8912,0.8822
0.891,0.8842
0.8906,0.882
0.8909,0.8839
0.8911,0.883
0.8908,0.8832
0.8907,0.8837
0.8912,0.883
0.8906,0.8836
0.8917,0.8829
0.8919,0.8835
0.8924,0.883
0.8909,0.8837
0.8918,0.8825
0.8921,0.8834
0.892,0.884
0.8915,0.883
0.8922,0.8841
0.8915,0.8838
0.8926,0.8843
0.8912,0.883
0.8928,0.8843
0.8914,0.884
0.892,0.8848
0.8917,0.8831
0.8922,0.8844
0.8916,0.8832
0.8919,0.8847
0.8919,0.8834
0.8914,0.8843
0.8917,0.8832
0.8916,0.8842
0.8909,0.8827
0.8911,0.8843
0.8917,0.8824
0.8916,0.8845
0.8916,0.8822
0.8921,0.8836
0.8921,0.8823
0.892,0.8833
0.8921,0.8824
0.8916,0.8815
0.8923,0.883
0.8918,0.8804
0.8915,0.883
0.8922,0.8796
0.891,0.8826
0.8918,0.8804
0.8912,0.8816
0.8919,0.8813
0.8902,0.8832
0.8916,0.8819
0.8907,0.8836
0.8911,0.884
0.8905,0.8837
0.891,0.883
0.8906,0.8843
0.8918,0.8833
0.8898,0.8838
0.8918,0.8845
0.8905,0.8839
0.8914,0.8832
0.891,0.8827
0.8915,0.8839
0.891,0.8815
0.8913,0.8837
0.8907,0.8817
0.8913,0.8831
0.8904,0.8806
0.8917,0.8817
0.8918,0.8808
0.8918,0.8781
0.8914,0.8807
0.892,0.8764
0.8918,0.8825
0.8923,0.8774
0.8914,0.8823
0.8914,0.8572
0.8906,0.8805
0.8921,0.8585
0.8912,0.883
0.8926,0.8633
0.8908,0.8789
0.892,0.8691
0.8915,0.8783
0.8931,0.8781
0.892,0.8775
0.8927,0.8802
0.8907,0.8786
0.8928,0.8825
0.8908,0.8814
0.8921,0.8831
0.8911,0.8836
0.8921,0.8825
0.891,0.8841
0.892,0.8822
0.8915,0.8832
0.8917,0.8821
0.8919,0.8821
0.892,0.8789
0.8912,0.8799
0.8924,0.8762
0.8913,0.8798
0.8917,0.8764
0.891,0.8805
0.8921,0.8799
0.891,0.8824
0.8919,0.8825
0.8921,0.8839
0.8922,0.8821
0.8923,0.8835
0.8922,0.8827
0.8916,0.8744
0.8921,0.8802
0.8913,0.8438
0.8915,0.8632
0.891,0.8198
0.8906,0.838
0.8914,0.8081
0.8913,0.8322
0.8912,0.8065
0.8927,0.8578
0.892,0.8299
0.8931,0.8362
0.891,0.8377
0.8928,0.8487
0.8911,0.8491
0.8924,0.8407
0.8914,0.8574
0.892,0.8512
0.8911,0.8562
0.8923,0.8603
